repo,stars,created_at,age_years,merged_prs
expressjs/express,69395,2009-06-26T18:56:01Z,17.17,554
santifer/career-ops,68674,2026-04-04T18:21:18Z,0.39,1288
base/node,68408,2023-02-01T13:55:02Z,3.56,274
code-yeongyu/oh-my-openagent,68401,2025-12-03T01:40:05Z,0.73,2760
colbymchenry/codegraph,68250,2026-01-18T21:45:37Z,0.6,478
openinterpreter/openinterpreter,68160,2023-07-14T07:10:44Z,3.12,438
headroomlabs-ai/headroom,67703,2026-01-07T19:58:51Z,0.63,1515
chartjs/Chart.js,67664,2013-03-17T23:56:36Z,13.44,3018
BurntSushi/ripgrep,67618,2016-03-11T02:02:33Z,10.46,571
labmlai/annotated_deep_learning_paper_implementations,67359,2020-08-25T02:29:34Z,6.0,104
gorhill/uBlock,67303,2015-04-01T17:51:11Z,11.4,0
apache/echarts,67154,2013-04-03T03:18:59Z,13.4,1524
microsoft/AI-For-Beginners,67154,2021-03-03T16:27:36Z,5.48,312
scikit-learn/scikit-learn,67065,2010-08-17T09:43:38Z,16.02,14735
cline/cline,66915,2024-07-06T07:28:10Z,2.14,4549
bradtraversy/design-resources-for-developers,66752,2020-05-06T14:40:35Z,6.31,978
sindresorhus/awesome-nodejs,66622,2014-07-11T13:35:34Z,12.13,421
xtekky/gpt4free,66606,2023-03-29T17:00:43Z,3.41,907
leonardomso/33-js-concepts,66516,2018-09-04T13:27:04Z,7.98,269
Fission-AI/OpenSpec,66349,2025-08-05T10:37:45Z,1.06,591
dani-garcia/vaultwarden,66311,2018-02-17T22:40:20Z,8.52,1168
TheAlgorithms/Java,66185,2016-07-16T10:21:02Z,10.11,2396
facebook/docusaurus,66092,2017-06-20T16:13:53Z,9.18,5875
webpack/webpack,65962,2012-03-10T10:08:14Z,14.46,6420
LadybirdBrowser/ladybird,65849,2024-05-30T09:18:10Z,2.24,8187
prometheus/prometheus,65839,2012-11-24T11:14:12Z,13.75,8884
kelseyhightower/nocode,65670,2018-02-06T23:54:00Z,8.55,1
docling-project/docling,65602,2024-07-09T07:50:26Z,2.13,1172
alacritty/alacritty,65520,2016-02-18T05:02:30Z,10.52,1938
lydiahallie/javascript-questions,65328,2019-06-12T08:26:27Z,7.21,327
Mintplex-Labs/anything-llm,65252,2023-06-04T02:29:14Z,3.23,1582
kdn251/interviews,65227,2017-02-14T18:19:25Z,9.53,42
shanraisshan/claude-code-best-practice,65189,2025-10-31T14:15:28Z,0.82,48
localstack/localstack,65145,2016-10-25T23:48:03Z,9.83,6814
tw93/Mole,65035,2025-09-23T06:38:40Z,0.92,341
nocodb/nocodb,64748,2017-10-29T18:51:48Z,8.82,6503
gsd-build/get-shit-done,64636,2025-12-14T14:17:12Z,0.7,1202
traefik/traefik,64606,2015-09-13T19:04:02Z,10.95,5545
warpdotdev/warp,64547,2021-07-08T18:48:08Z,5.13,2277
ryanoasis/nerd-fonts,64425,2014-12-05T04:31:17Z,11.72,610
keras-team/keras,64253,2015-03-28T00:35:42Z,11.41,5224
mem0ai/mem0,64115,2023-06-20T08:58:36Z,3.18,2531
scrapy/scrapy,64047,2010-02-22T02:01:14Z,16.51,2848
