repo,stars,total_releases,pushed_at,days_since_update
animate-css/animate.css,82737,22,2024-07-29T19:34:21Z,751
junegunn/fzf,82584,84,2026-08-17T03:11:26Z,2
fighting41love/funNLP,82547,0,2024-05-10T07:38:24Z,831
vitejs/vite,82413,713,2026-08-19T12:16:23Z,0
tonsky/FiraCode,81936,29,2026-07-28T17:02:16Z,22
mlabonne/llm-course,81843,0,2026-02-05T13:09:26Z,195
lobehub/lobehub,81828,1000,2026-08-19T23:09:04Z,0
jesseduffield/lazygit,81472,186,2026-08-19T16:45:43Z,0
spring-projects/spring-boot,81326,352,2026-08-17T19:53:26Z,2
bytedance/deer-flow,80339,1,2026-08-19T14:06:17Z,0
TapXWorld/ChinaTextbook,80285,0,2025-10-18T13:39:24Z,305
netdata/netdata,80233,138,2026-08-19T16:35:58Z,0
swisskyrepo/PayloadsAllTheThings,80184,5,2026-08-09T13:38:47Z,10
hoppscotch/hoppscotch,80059,107,2026-08-16T19:17:55Z,3
Egonex-AI/Understand-Anything,79834,8,2026-08-11T14:13:37Z,8
anuraghazra/github-readme-stats,79828,0,2026-07-31T00:50:25Z,19
d2l-ai/d2l-zh,79806,16,2024-07-30T09:32:19Z,750
doocs/advanced-java,79067,1,2026-06-25T02:21:18Z,55
Z4nzu/hackingtool,79031,0,2026-08-02T16:54:01Z,17
coder/code-server,78959,253,2026-08-19T23:02:31Z,0
paperclipai/paperclip,78897,20,2026-08-19T23:22:50Z,0
ventoy/Ventoy,78822,115,2026-08-06T04:51:23Z,13
unclecode/crawl4ai,78715,20,2026-08-19T13:43:00Z,0
Leonxlnx/taste-skill,78197,0,2026-08-17T22:57:24Z,2
awesomedata/awesome-public-datasets,78150,1,2026-08-04T19:54:53Z,15
opendatalab/MinerU,77991,186,2026-08-19T10:42:08Z,0
elastic/elasticsearch,77843,260,2026-08-19T22:53:21Z,0
tensorflow/models,77651,51,2026-08-17T23:06:28Z,2
dair-ai/Prompt-Engineering-Guide,77603,0,2026-03-11T20:09:13Z,161
nomic-ai/gpt4all,77405,38,2025-05-27T20:05:19Z,449
FortAwesome/Font-Awesome,76845,65,2026-07-15T18:15:53Z,35
rtk-ai/rtk,76695,279,2026-08-19T23:05:35Z,0
MisterBooo/LeetCodeAnimation,76694,0,2026-06-12T13:49:06Z,68
